Date,Close,Volume,달러(원),위안(원)
2021-09-01,1813.77,66557,1157.2,179.2
2021-09-02,1809.55,48158,1161.5,179.9
2021-09-03,1827.59,64900,1157.0,179.3
2021-09-06,1823.14,30435,1156.5,179.4
2021-09-07,1793.92,65120,1157.8,179.4
2021-09-08,1789.29,69657,1166.7,180.4
2021-09-09,1794.36,69299,1169.2,181.0
2021-09-10,1787.81,64121,1169.1,181.5
2021-09-13,1793.37,53287,1176.0,182.2
2021-09-14,1804.69,68253,1170.8,181.7
2021-09-15,1793.73,71910,1170.5,181.7
2021-09-16,1752.72,92224,1171.8,182.1
2021-09-17,1753.92,93996,1175.0,182.3
2021-09-20,1764.82,96288,0.0,0.0
2021-09-21,1773.89,77017,0.0,0.0
2021-09-22,1767.99,95213,0.0,0.0
2021-09-23,1742.48,94004,1175.5,181.9
2021-09-24,1749.72,73477,1176.5,182.2
2021-09-27,1750.15,90252,1176.8,182.1
2021-09-28,1733.53,109052,1184.4,183.2
2021-09-29,1726.46,99056,1181.8,182.7
2021-09-30,1757.16,101418,1184.0,183.0
2021-10-01,1760.15,93635,1188.7,184.1
2021-10-04,1769.35,94390,0.0,0.0
2021-10-05,1759.87,84128,1188.7,184.1
2021-10-06,1762.87,94004,1192.3,184.9
2021-10-07,1754.91,76394,1190.4,184.5
2021-10-08,1757.1,95076,1194.6,185.3
2021-10-11,1754.11,75370,0.0,0.0
2021-10-12,1760.19,85568,1198.8,185.8
2021-10-13,1792.75,102178,1193.8,185.1
2021-10-14,1795.92,79665,1186.8,184.4
2021-10-15,1767.42,91079,1182.4,183.8
2021-10-18,1764.53,100833,1187.6,184.5
2021-10-19,1768.99,95022,1178.7,184.3
2021-10-20,1782.06,94540,1174.2,184.0
2021-10-21,1783.32,98030,1177.2,184.3
2021-10-22,1792.67,109808,1177.1,184.2
2021-10-25,1807.43,95376,1168.4,183.2
2021-10-26,1793.0,89761,1167.6,182.9
2021-10-27,1796.89,98026,1170.0,183.4
2021-10-28,1798.81,111028,1169.7,182.8
2021-10-29,1782.98,118861,1168.6,183.0
2021-11-01,1793.2,88126,1176.5,183.9
2021-11-02,1787.84,80400,1174.4,183.6
2021-11-03,1769.89,95424,1181.6,184.6
2021-11-04,1791.71,89121,1182.6,184.9
2021-11-05,1817.84,98757,1185.2,185.2
2021-11-08,1824.14,86785,1183.1,184.9
2021-11-09,1831.68,87840,1177.2,184.2
2021-11-10,1848.97,104451,1180.9,184.8
2021-11-11,1861.77,73362,1180.8,184.4
2021-11-12,1864.35,86565,1179.6,184.7
2021-11-15,1862.71,78903,1178.4,184.8
2021-11-16,1849.98,96336,1179.9,185.2
2021-11-17,1867.39,83204,1182.5,185.1
2021-11-18,1858.81,82994,1180.4,185.1
2021-11-19,1845.7,99128,1185.3,185.6
2021-11-22,1804.77,111380,1185.1,185.8
2021-11-23,1789.28,107732,1189.7,186.3
2021-11-24,1788.64,100596,1186.5,185.6
2021-11-25,1788.42,43784,1190.2,186.3
2021-11-26,1790.86,103879,1193.3,186.7
2021-11-29,1784.96,83509,1193.0,186.8
2021-11-30,1774.43,117288,1187.9,186.3
2021-12-01,1781.88,111262,1179.2,185.2
2021-12-02,1768.4,114608,1175.9,184.5
2021-12-03,1783.88,113243,1180.1,185.2
2021-12-06,1778.37,94257,1183.0,185.5
2021-12-07,1784.16,82219,1179.5,185.2
2021-12-08,1782.49,86165,1175.9,185.1
2021-12-09,1775.13,83436,1174.5,185.1
2021-12-10,1782.82,82249,1181.3,185.4
2021-12-13,1786.99,75375,1180.8,185.5
2021-12-14,1770.58,82804,1182.6,185.7
2021-12-15,1777.09,97659,1185.2,186.2
2021-12-16,1799.02,99122,1183.9,185.7
2021-12-17,1797.98,90843,1180.9,185.0
2021-12-20,1790.3,97492,1190.8,186.4
2021-12-21,1788.63,82073,1192.9,186.9
2021-12-22,1803.54,72738,1192.0,186.9
2021-12-23,1807.76,66632,1187.9,186.3
2021-12-27,1811.82,66267,1186.8,186.2
2021-12-28,1806.13,65449,1188.0,186.4
2021-12-29,1803.9,74622,1186.5,186.2
2021-12-30,1815.08,71293,1188.8,186.6
2021-12-31,1827.95,58510,0.0,0.0
2022-01-03,1801.2,87227,1191.8,187.4
2022-01-04,1814.36,95966,1194.1,187.2
2022-01-05,1810.53,91086,1196.9,187.8
2022-01-06,1789.72,114463,1201.0,188.0
2022-01-07,1796.3,93200,1201.5,188.3
2022-01-10,1801.69,98141,1199.1,188.0
2022-01-11,1821.43,95816,1194.7,187.3
2022-01-12,1826.14,89178,1190.5,186.9
2022-01-13,1822.71,88822,1187.5,186.6
2022-01-14,1817.54,100708,1187.3,186.9
2022-01-17,1819.11,50418,1192.7,187.8
2022-01-18,1813.7,116659,1190.1,187.5
2022-01-19,1840.63,118270,1191.7,187.6
2022-01-20,1839.53,115018,1192.4,187.8
2022-01-21,1834.63,118667,1194.0,188.2
2022-01-24,1843.16,137348,1196.1,188.7
2022-01-25,1847.69,115864,1198.6,189.3
2022-01-26,1818.84,119417,1197.7,189.2
2022-01-27,1796.7,134786,1202.8,189.4
2022-01-28,1791.58,117835,1205.5,189.6
2022-01-31,1796.88,99871,0.0,0.0
2022-02-01,1800.9,98541,0.0,0.0
2022-02-02,1806.86,87102,0.0,0.0
2022-02-03,1804.88,106335,1206.4,189.5
2022-02-04,1807.84,105497,1197.0,188.4
2022-02-07,1820.48,103673,1200.7,188.6
2022-02-08,1826.03,89692,1197.7,188.2
2022-02-09,1832.87,83092,1196.5,187.9
2022-02-10,1826.75,123300,1196.5,188.0
2022-02-11,1858.98,134846,1198.5,188.3
2022-02-14,1871.74,145102,1191.1,187.8
2022-02-15,1853.36,111096,1199.8,188.8
2022-02-16,1869.0,101098,1196.7,189.1
2022-02-17,1898.25,136437,1197.1,189.1
2022-02-18,1897.34,114121,1195.9,188.9
2022-02-21,1903.46,84038,1192.1,188.3
2022-02-22,1898.5,149372,1192.7,188.1
2022-02-23,1908.08,101624,1193.6,188.6
2022-02-24,1903.77,194530,1202.4,190.4
2022-02-25,1888.25,149053,1201.6,190.4
2022-02-28,1908.26,144843,1202.3,190.5
2022-03-01,1945.17,143236,0.0,0.0
2022-03-02,1927.61,134384,1206.1,191.0
2022-03-03,1936.62,119807,1204.6,190.5
2022-03-04,1969.74,142983,1214.2,192.0
2022-03-07,1997.24,196672,1227.1,194.0
